File_name,sample,treatment
WTCHG_238643_203,525,IFN
WTCHG_238643_208,526,IFN
WTCHG_238644_213,528,IFN
WTCHG_238644_218,568,IFN
WTCHG_238648_203,527,IFN
WTCHG_238648_251,594,IFN
WTCHG_238648_301,603,IFN
WTCHG_238648_273,611,IFN
WTCHG_238648_231,683,IFN
WTCHG_238648_239,686,IFN
WTCHG_238648_263,703,IFN
WTCHG_238649_287,552,IFN
WTCHG_238649_295,583,IFN
WTCHG_238649_247,689,IFN
WTCHG_238650_291,632,IFN
WTCHG_238650_255,693,IFN
WTCHG_241361_212,532,IFN
WTCHG_241361_242,537,IFN
WTCHG_241362_234,536,IFN
WTCHG_241362_215,681,IFN
WTCHG_241363_282,618,IFN
WTCHG_241363_207,679,IFN
WTCHG_241365_225,535,IFN
WTCHG_241365_279,566,IFN
WTCHG_241365_223,682,IFN
WTCHG_259281_250,540,IFN
WTCHG_259281_254,550,IFN
WTCHG_259281_257,578,IFN
WTCHG_259282_262,582,IFN
WTCHG_259282_266,585,IFN
WTCHG_259283_270,598,IFN
WTCHG_259283_273,609,IFN
WTCHG_259283_276,613,IFN
WTCHG_259284_277,616,IFN
WTCHG_259284_280,617,IFN
WTCHG_259284_284,626,IFN
WTCHG_259285_286,643,IFN
WTCHG_259285_290,651,IFN
WTCHG_259285_292,668,IFN
WTCHG_259286_223,570,IFN
WTCHG_259286_225,570,MET1m_IFN
WTCHG_259286_294,652,IFN
WTCHG_309072_204,531,IFN
WTCHG_309072_208,533,IFN
WTCHG_309073_212,534,IFN
WTCHG_309073_216,538,IFN
WTCHG_309073_220,619,IFN
WTCHG_308990_224,541,IFN
WTCHG_308990_228,544,IFN
WTCHG_308991_232,545,IFN
WTCHG_308991_240,547,IFN
WTCHG_308992_244,548,IFN
WTCHG_308992_248,551,IFN
WTCHG_308993_252,562,IFN
WTCHG_308993_256,572,IFN
WTCHG_308993_301,574,IFN
WTCHG_308994_264,576,IFN
WTCHG_308994_268,579,IFN
WTCHG_308995_272,580,IFN
WTCHG_308995_276,581,IFN
WTCHG_308996_280,584,IFN
WTCHG_308996_284,599,IFN
WTCHG_308997_288,604,IFN
WTCHG_308997_292,608,IFN
WTCHG_308997_296,612,IFN
WTCHG_238643_202,525,LPS24
WTCHG_238643_207,526,LPS24
WTCHG_238644_212,528,LPS24
WTCHG_238644_217,568,LPS24
WTCHG_238648_202,527,LPS24
WTCHG_238648_268,611,LPS24
WTCHG_238648_238,686,LPS24
WTCHG_238649_270,554,LPS24
WTCHG_238649_259,603,LPS24
WTCHG_238649_214,681,LPS24
WTCHG_238650_290,632,LPS24
WTCHG_238650_222,682,LPS24
WTCHG_238650_230,683,LPS24
WTCHG_238650_254,693,LPS24
WTCHG_238650_262,703,LPS24
WTCHG_241361_278,566,LPS24
WTCHG_241361_250,594,LPS24
WTCHG_241362_241,537,LPS24
WTCHG_241363_220,535,LPS24
WTCHG_241363_281,618,LPS24
WTCHG_241363_206,679,LPS24
WTCHG_241364_211,532,LPS24
WTCHG_241364_294,583,LPS24
WTCHG_241366_233,536,LPS24
WTCHG_259281_249,540,LPS24
WTCHG_259281_256,578,LPS24
WTCHG_259282_261,582,LPS24
WTCHG_259282_265,585,LPS24
WTCHG_259283_269,598,LPS24
WTCHG_259283_275,613,LPS24
WTCHG_259284_279,617,LPS24
WTCHG_259284_302,626,LPS24
WTCHG_259285_289,651,LPS24
WTCHG_259286_222,570,LPS24
WTCHG_254865_202,694,UT
WTCHG_254865_205,695,LPS24
WTCHG_254865_208,697,LPS24
WTCHG_254866_211,698,LPS24
WTCHG_254866_214,699,LPS24
WTCHG_259280_217,700,LPS24
WTCHG_259280_221,704,LPS24
WTCHG_309072_202,531,LPS24
WTCHG_309072_206,533,LPS24
WTCHG_309072_210,534,LPS24
WTCHG_309073_214,538,LPS24
WTCHG_309073_218,619,LPS24
WTCHG_308990_222,541,LPS24
WTCHG_308990_226,544,LPS24
WTCHG_308990_230,545,LPS24
WTCHG_308991_238,547,LPS24
WTCHG_308991_234,630,LPS24
WTCHG_308992_242,548,LPS24
WTCHG_308992_246,551,LPS24
WTCHG_308992_250,562,LPS24
WTCHG_308993_254,572,LPS24
WTCHG_308993_258,574,LPS24
WTCHG_308994_262,576,LPS24
WTCHG_308994_266,579,LPS24
WTCHG_308995_274,581,LPS24
WTCHG_308995_278,584,LPS24
WTCHG_308996_282,599,LPS24
WTCHG_308996_286,604,LPS24
WTCHG_308997_290,608,LPS24
WTCHG_308997_294,612,LPS24
WTCHG_254865_203,694,LPS24_IL7
WTCHG_254865_206,695,LPS24_IL7
WTCHG_254866_209,697,LPS24_IL7
WTCHG_254866_212,698,LPS24_IL7
WTCHG_254866_215,699,LPS24_IL7
WTCHG_259280_218,700,LPS24_IL7
WTCHG_259280_219,703,LPS24_IL7
WTCHG_259280_222,704,LPS24_IL7
WTCHG_238643_204,525,MET1m
WTCHG_238643_209,526,MET1m
WTCHG_238644_214,528,MET1m
WTCHG_238644_219,568,MET1m
WTCHG_241361_265,603,MET1m
WTCHG_241362_280,566,MET1m
WTCHG_241363_204,527,MET1m
WTCHG_241363_302,618,MET1m
WTCHG_241364_288,552,MET1m
WTCHG_241364_232,683,MET1m
WTCHG_241365_296,583,MET1m
WTCHG_241365_252,594,MET1m
WTCHG_241365_274,611,MET1m
WTCHG_241365_224,682,MET1m
WTCHG_241365_240,686,MET1m
WTCHG_241365_264,703,MET1m
WTCHG_241366_217,532,MET1m
WTCHG_241366_235,536,MET1m
WTCHG_241366_243,537,MET1m
WTCHG_241366_292,632,MET1m
WTCHG_241366_208,679,MET1m
WTCHG_241366_216,681,MET1m
WTCHG_241366_248,689,MET1m
WTCHG_241366_256,693,MET1m
WTCHG_259281_258,578,MET1m
WTCHG_259283_271,598,MET1m
WTCHG_259284_281,617,MET1m
WTCHG_259284_285,626,MET1m
WTCHG_259285_291,651,MET1m
WTCHG_259286_224,570,MET1m
WTCHG_309072_203,531,MET1m
WTCHG_309072_207,533,MET1m
WTCHG_309073_211,534,MET1m
WTCHG_309073_215,538,MET1m
WTCHG_309073_219,619,MET1m
WTCHG_308990_223,541,MET1m
WTCHG_308990_303,544,MET1m
WTCHG_308991_231,545,MET1m
WTCHG_308991_239,547,MET1m
WTCHG_308991_235,630,MET1m
WTCHG_308992_243,548,MET1m
WTCHG_308992_247,551,MET1m
WTCHG_308993_251,562,MET1m
WTCHG_308993_255,572,MET1m
WTCHG_308993_259,574,MET1m
WTCHG_308994_263,576,MET1m
WTCHG_308994_267,579,MET1m
WTCHG_308995_271,580,MET1m
WTCHG_308995_275,581,MET1m
WTCHG_308996_279,584,MET1m
WTCHG_308996_302,599,MET1m
WTCHG_308996_287,604,MET1m
WTCHG_308997_291,608,MET1m
WTCHG_308997_295,612,MET1m
WTCHG_238643_205,525,MET1m_IFN
WTCHG_238644_215,528,MET1m_IFN
WTCHG_238644_220,568,MET1m_IFN
WTCHG_238649_271,554,MET1m_IFN
WTCHG_238649_209,527,MET1m_IFN
WTCHG_238649_244,537,MET1m_IFN
WTCHG_238649_275,611,MET1m_IFN
WTCHG_238650_257,594,MET1m_IFN
WTCHG_238650_266,603,MET1m_IFN
WTCHG_241361_218,532,MET1m_IFN
WTCHG_241362_246,535,MET1m_IFN
WTCHG_241363_284,618,MET1m_IFN
WTCHG_259281_251,540,MET1m_IFN
WTCHG_259282_259,578,MET1m_IFN
WTCHG_259282_264,582,MET1m_IFN
WTCHG_259282_267,585,MET1m_IFN
WTCHG_238643_201,525,UT
WTCHG_238643_206,526,UT
WTCHG_238644_211,528,UT
WTCHG_238644_216,568,UT
WTCHG_238650_229,683,UT
WTCHG_241361_293,583,UT
WTCHG_241361_267,611,UT
WTCHG_241361_237,686,UT
WTCHG_241361_261,703,UT
WTCHG_241362_285,552,UT
WTCHG_241362_258,603,UT
WTCHG_241362_213,536,UT
WTCHG_241362_253,693,UT
WTCHG_241363_201,527,UT
WTCHG_241363_269,554,UT
WTCHG_241364_210,532,UT
WTCHG_241364_277,566,UT
WTCHG_241364_249,594,UT
WTCHG_241364_276,618,UT
WTCHG_241364_289,632,UT
WTCHG_241364_245,689,UT
WTCHG_241365_221,682,UT
WTCHG_241366_205,679,UT
WTCHG_259281_252,543,UT
WTCHG_259281_255,578,UT
WTCHG_259282_301,582,UT
WTCHG_259283_268,598,UT
WTCHG_259283_272,609,UT
WTCHG_259284_278,617,UT
WTCHG_259284_282,626,UT
WTCHG_259285_287,648,UT
WTCHG_259285_288,651,UT
WTCHG_259286_221,570,UT
WTCHG_254865_201,694,LPS24
WTCHG_254865_204,695,UT
WTCHG_254865_207,697,UT
WTCHG_254866_210,698,UT
WTCHG_254866_213,699,UT
WTCHG_259280_223,700,UT
WTCHG_259280_220,704,UT
WTCHG_309072_201,531,UT
WTCHG_309072_205,533,UT
WTCHG_309072_209,534,UT
WTCHG_309073_213,538,UT
WTCHG_309073_217,619,UT
WTCHG_308990_221,541,UT
WTCHG_308990_225,544,UT
WTCHG_308990_229,545,UT
WTCHG_308991_237,547,UT
WTCHG_308991_233,630,UT
WTCHG_308992_241,548,UT
WTCHG_308992_245,551,UT
WTCHG_308992_249,562,UT
WTCHG_308993_253,572,UT
WTCHG_308993_257,574,UT
WTCHG_308994_261,576,UT
WTCHG_308994_265,579,UT
WTCHG_308994_269,580,UT
WTCHG_308995_273,581,UT
WTCHG_308995_277,584,UT
WTCHG_308996_281,599,UT
WTCHG_308996_285,604,UT
WTCHG_308997_289,608,UT
WTCHG_308997_293,612,UT
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,