sample_id	file_name
SAMEA3402280	EGAR00001330418_islet_sample1.bam
SAMEA3402281	EGAR00001330448_islet_sample2.bam
SAMEA3402282	EGAR00001330459_islet_sample3.bam
SAMEA3402283	EGAR00001330470_islet_sample4.bam
SAMEA3402284	EGAR00001330481_islet_sample5.bam
SAMEA3402285	EGAR00001330492_islet_sample6.bam
SAMEA3402286	EGAR00001330503_islet_sample7.bam
SAMEA3402287	EGAR00001330514_islet_sample8.bam
SAMEA3402288	EGAR00001330525_islet_sample9.bam
SAMEA3402289	EGAR00001330419_islet_sample10.bam
SAMEA3402290	EGAR00001330430_islet_sample11.bam
SAMEA3402291	EGAR00001330440_islet_sample12.bam
SAMEA3402292	EGAR00001330441_islet_sample13.bam
SAMEA3402293	EGAR00001330442_islet_sample14.bam
SAMEA3402294	EGAR00001330443_islet_sample15.bam
SAMEA3402295	EGAR00001330444_islet_sample16.bam
SAMEA3402296	EGAR00001330445_islet_sample17.bam
SAMEA3402297	EGAR00001330446_islet_sample18.bam
SAMEA3402298	EGAR00001330447_islet_sample19.bam
SAMEA3402299	EGAR00001330449_islet_sample20.bam
SAMEA3402300	EGAR00001330450_islet_sample21.bam
SAMEA3402301	EGAR00001330451_islet_sample22.bam
SAMEA3402302	EGAR00001330452_islet_sample23.bam
SAMEA3402303	EGAR00001330453_islet_sample24.bam
SAMEA3402304	EGAR00001330454_islet_sample25.bam
SAMEA3402305	EGAR00001330455_islet_sample26.bam
SAMEA3402306	EGAR00001330456_islet_sample27.bam
SAMEA3402307	EGAR00001330457_islet_sample28.bam
SAMEA3402308	EGAR00001330458_islet_sample29.bam
SAMEA3402309	EGAR00001330460_islet_sample30.bam
SAMEA3402310	EGAR00001330461_islet_sample31.bam
SAMEA3402311	EGAR00001330462_islet_sample32.bam
SAMEA3402312	EGAR00001330463_islet_sample33.bam
SAMEA3402313	EGAR00001330464_islet_sample34.bam
SAMEA3402314	EGAR00001330465_islet_sample35.bam
SAMEA3402315	EGAR00001330466_islet_sample36.bam
SAMEA3402316	EGAR00001330467_islet_sample37.bam
SAMEA3402317	EGAR00001330468_islet_sample38.bam
SAMEA3402318	EGAR00001330469_islet_sample39.bam
SAMEA3402319	EGAR00001330471_islet_sample40.bam
SAMEA3402320	EGAR00001330472_islet_sample41.bam
SAMEA3402321	EGAR00001330473_islet_sample42.bam
SAMEA3402322	EGAR00001330474_islet_sample43.bam
SAMEA3402323	EGAR00001330475_islet_sample44.bam
SAMEA3402324	EGAR00001330476_islet_sample45.bam
SAMEA3402325	EGAR00001330477_islet_sample46.bam
SAMEA3402326	EGAR00001330478_islet_sample47.bam
SAMEA3402327	EGAR00001330479_islet_sample48.bam
SAMEA3402328	EGAR00001330480_islet_sample49.bam
SAMEA3402329	EGAR00001330482_islet_sample50.bam
SAMEA3402330	EGAR00001330483_islet_sample51.bam
SAMEA3402331	EGAR00001330484_islet_sample52.bam
SAMEA3402332	EGAR00001330485_islet_sample53.bam
SAMEA3402333	EGAR00001330486_islet_sample54.bam
SAMEA3402334	EGAR00001330487_islet_sample55.bam
SAMEA3402335	EGAR00001330488_islet_sample56.bam
SAMEA3402336	EGAR00001330489_islet_sample57.bam
SAMEA3402337	EGAR00001330490_islet_sample58.bam
SAMEA3402338	EGAR00001330491_islet_sample59.bam
SAMEA3402339	EGAR00001330493_islet_sample60.bam
SAMEA3402340	EGAR00001330494_islet_sample61.bam
SAMEA3402341	EGAR00001330495_islet_sample62.bam
SAMEA3402342	EGAR00001330496_islet_sample63.bam
SAMEA3402343	EGAR00001330497_islet_sample64.bam
SAMEA3402344	EGAR00001330498_islet_sample65.bam
SAMEA3402345	EGAR00001330499_islet_sample66.bam
SAMEA3402346	EGAR00001330500_islet_sample67.bam
SAMEA3402347	EGAR00001330501_islet_sample68.bam
SAMEA3402348	EGAR00001330502_islet_sample69.bam
SAMEA3402349	EGAR00001330504_islet_sample70.bam
SAMEA3402350	EGAR00001330505_islet_sample71.bam
SAMEA3402351	EGAR00001330506_islet_sample72.bam
SAMEA3402352	EGAR00001330507_islet_sample73.bam
SAMEA3402353	EGAR00001330508_islet_sample74.bam
SAMEA3402354	EGAR00001330509_islet_sample75.bam
SAMEA3402355	EGAR00001330510_islet_sample76.bam
SAMEA3402356	EGAR00001330511_islet_sample77.bam
SAMEA3402357	EGAR00001330512_islet_sample78.bam
SAMEA3402358	EGAR00001330513_islet_sample79.bam
SAMEA3402359	EGAR00001330515_islet_sample80.bam
SAMEA3402360	EGAR00001330516_islet_sample81.bam
SAMEA3402361	EGAR00001330517_islet_sample82.bam
SAMEA3402362	EGAR00001330518_islet_sample83.bam
SAMEA3402363	EGAR00001330519_islet_sample84.bam
SAMEA3402364	EGAR00001330520_islet_sample85.bam
SAMEA3402365	EGAR00001330521_islet_sample86.bam
SAMEA3402366	EGAR00001330522_islet_sample87.bam
SAMEA3402367	EGAR00001330523_islet_sample88.bam
SAMEA3402368	EGAR00001330524_islet_sample89.bam
SAMEA3402369	EGAR00001330526_islet_sample90.bam
SAMEA3402370	EGAR00001330527_islet_sample91.bam
SAMEA3402371	EGAR00001330528_islet_sample92.bam
SAMEA3402372	EGAR00001330529_islet_sample93.bam
SAMEA3402373	EGAR00001330530_islet_sample94.bam
SAMEA3402374	EGAR00001330531_islet_sample95.bam
SAMEA3402375	EGAR00001330532_islet_sample96.bam
SAMEA3402376	EGAR00001330533_islet_sample97.bam
SAMEA3402377	EGAR00001330534_islet_sample98.bam
SAMEA3402378	EGAR00001330535_islet_sample99.bam
SAMEA3402379	EGAR00001330420_islet_sample100.bam
SAMEA3402380	EGAR00001330421_islet_sample101.bam
SAMEA3402381	EGAR00001330422_islet_sample102.bam
SAMEA3402382	EGAR00001330423_islet_sample103.bam
SAMEA3402383	EGAR00001330424_islet_sample104.bam
SAMEA3402384	EGAR00001330425_islet_sample105.bam
SAMEA3402385	EGAR00001330426_islet_sample106.bam
SAMEA3402386	EGAR00001330427_islet_sample107.bam
SAMEA3402387	EGAR00001330428_islet_sample108.bam
SAMEA3402388	EGAR00001330429_islet_sample109.bam
SAMEA3402389	EGAR00001330431_islet_sample110.bam
SAMEA3402390	EGAR00001330432_islet_sample111.bam
SAMEA3402391	EGAR00001330433_islet_sample112.bam
SAMEA3402392	EGAR00001330434_islet_sample113.bam
SAMEA3402393	EGAR00001330435_islet_sample114.bam
SAMEA3402394	EGAR00001330436_islet_sample115.bam
SAMEA3402395	EGAR00001330437_islet_sample116.bam
SAMEA3402396	EGAR00001330438_islet_sample117.bam
SAMEA3402397	EGAR00001330439_islet_sample118.bam
